SchoolName,TK,K,6,9,Grand Total
Bryant ES,34,7,,,41
Buena Vista Horace Mann K-8,,1,,,1
Burton (Phillip and Sala) HS,,,,77,77
Carmichael (Bessie) K-8,12,14,6,,32
Carver (Dr George W) ES,40,,,,40
Chavez (Cesar) ES,9,3,,,12
Chin (John Yehall) ES,,7,,,7
Cleveland ES,,17,,,17
Cobb (Dr William L) ES,19,,,,19
Denman (James) MS,,,57,,57
Drew (Dr Charles) College Preparatory Academy ES,35,3,,,38
El Dorado ES,44,7,,,51
Everett MS,,,27,,27
Francisco MS,,,24,,24
Galileo HS,,,,36,36
Garfield ES,,6,,,6
Guadalupe ES,8,,,,8
Harte (Bret) ES,33,4,,,37
Hillcrest ES,10,,,,10
King (Thomas Starr) ES,,6,,,6
King Jr (Dr Martin L) MS,,,11,,11
Lakeshore ES,,20,,,20
Lau (Gordon J) ES,,6,,,6
Lick (James) MS,,,27,,27
Longfellow ES,,2,,,2
Malcolm X Academy ES,42,,,,42
Marina MS,,,23,,23
Marshall ES,,1,,,1
McLaren (John) EES,71,,,,71
Mission HS,,,,24,24
Monroe ES,,1,,,1
Moscone (George R) ES,,2,,,2
Ortega (Jose) ES,,2,,,2
Parker (Jean) ES,21,8,,,29
Parks (Rosa) ES,19,,,,19
Redding ES,37,17,,,54
Revere (Paul) K-8,36,8,11,,55
Sanchez ES,12,,,,12
Serra (Junipero) Annex EES,11,,,,11
SF Community K-8,7,4,,,11
Sheridan ES,,23,,,23
Spring Valley Science ES,38,2,,,40
Tenderloin Community ES,30,6,,,36
Tule Elk Park EES,9,,,,9
Visitacion Valley ES,14,,,,14
Visitacion Valley MS,,,10,,10
Wallenberg (Raoul) HS,,,,39,39
Grand Total,591,177,196,176,1140